SERIES,Year,Sector,Value,UNIT_MEASURE
Sectoral Share of GDP (%),2017,Agriculture,21,Percentage (%)
Sectoral Share of GDP (%),2017,Industry,32.2,Percentage (%)
Sectoral Share of GDP (%),2017,Services,46.8,Percentage (%)
Sectoral Share of GDP (%),2018,Agriculture,19.5,Percentage (%)
Sectoral Share of GDP (%),2018,Industry,33.5,Percentage (%)
Sectoral Share of GDP (%),2018,Services,47,Percentage (%)
Sectoral Share of GDP (%),2019,Agriculture,18.5,Percentage (%)
Sectoral Share of GDP (%),2019,Industry,33.2,Percentage (%)
Sectoral Share of GDP (%),2019,Services,48.2,Percentage (%)
Sectoral Share of GDP (%),2020,Agriculture,20.5,Percentage (%)
Sectoral Share of GDP (%),2020,Industry,31.6,Percentage (%)
Sectoral Share of GDP (%),2020,Services,47.9,Percentage (%)
