Year,Value,Units,Series
2015,5,CL_UNIT_MEASURE.PT,CL_SERIES.VC_PRS_UNSNT
2016,6,CL_UNIT_MEASURE.PT,CL_SERIES.VC_PRS_UNSNT
2017,6,CL_UNIT_MEASURE.PT,CL_SERIES.VC_PRS_UNSNT
2018,9,CL_UNIT_MEASURE.PT,CL_SERIES.VC_PRS_UNSNT
2019,14,CL_UNIT_MEASURE.PT,CL_SERIES.VC_PRS_UNSNT
2015,2543,CL_UNIT_MEASURE.NUMBER,CL_SERIES.VC_PRS_UNSNTN
2016,3275,CL_UNIT_MEASURE.NUMBER,CL_SERIES.VC_PRS_UNSNTN
2017,3715,CL_UNIT_MEASURE.NUMBER,CL_SERIES.VC_PRS_UNSNTN
2018,6373,CL_UNIT_MEASURE.NUMBER,CL_SERIES.VC_PRS_UNSNTN
2019,10291,CL_UNIT_MEASURE.NUMBER,CL_SERIES.VC_PRS_UNSNTN
